"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.15931324730826e-173,0.752862330376156,0.717,0.495,4.70843482261777e-169,"1","Tmem108"
1.71322147558178e-173,0.65679205162429,0.838,0.685,6.95807770092783e-169,"1","Tox3"
4.89442217852378e-172,0.643715137506919,0.898,0.824,1.98782062358565e-167,"1","mt-Nd3"
3.14881405681627e-169,1.10580486904047,0.415,0.224,1.27885934103536e-164,"1","Cyth1"
9.85465671596441e-168,0.89649618053348,0.53,0.318,4.00237027862179e-163,"1","Hdac9"
7.20577888014364e-167,1.07532060062395,0.348,0.167,2.92655503438154e-162,"1","Gm44643"
1.12562976638364e-165,0.837647899416188,0.627,0.411,4.5716327331905e-161,"1","Arid5b"
5.64253520544547e-165,0.935949718918144,0.5,0.291,2.29165924833962e-160,"1","Klhdc8b"
2.80530867421863e-159,0.932309170074253,0.616,0.425,1.13934806494715e-154,"1","Vcan"
5.06657160905465e-159,1.2771087599475,0.334,0.166,2.05773739330146e-154,"1","Cox16"
1.08741253293068e-153,0.875192124834617,0.531,0.313,4.41641726124468e-149,"1","Unc5d"
3.8352386235372e-151,0.802562009028659,0.757,0.613,1.5576438145634e-146,"1","Tle4"
2.71464996020272e-148,0.673505189548182,0.747,0.593,1.10252793483673e-143,"1","Pigp"
1.44940607756188e-145,0.752637131410104,0.653,0.478,5.88661784340983e-141,"1","Ctnnbl1"
6.71309004405969e-143,0.639284621854904,0.741,0.575,2.7264543904944e-138,"1","Pja1"
3.25361124986687e-140,0.649334672637567,0.828,0.713,1.32142167302093e-135,"1","Phip"
2.39258417036487e-139,0.765925880347883,0.575,0.378,9.71724134951988e-135,"1","Pnmal1"
3.96658822251711e-139,0.67366009017604,0.746,0.592,1.6109901406931e-134,"1","Sgce"
7.59617228067376e-135,1.27576708371135,0.279,0.134,3.08510941007284e-130,"1","Zim1"
2.68785305636459e-134,0.934619488569817,0.583,0.429,1.09164464031191e-129,"1","Grcc10"
5.29155013452487e-130,0.900136721393396,0.445,0.264,2.14911017163593e-125,"1","Smim18"
6.28586860168954e-128,1.28482729028684,0.387,0.224,2.55294267389019e-123,"1","Nhlh2"
1.6398088553277e-127,1.08993995806631,0.355,0.195,6.65991968502793e-123,"1","Gfra1"
3.98101189374141e-126,0.677908479727951,0.665,0.503,1.61684817052414e-121,"1","Fam216a"
1.15140206736857e-125,0.637675438742649,0.823,0.622,4.67630435641072e-121,"1","Xkr4"
4.41805229876425e-121,1.06194626977228,0.336,0.188,1.79434776062011e-116,"1","Ube2s"
4.97296798844901e-120,1.27027623403464,0.288,0.15,2.01972121882868e-115,"1","Adnp"
7.07805914089597e-118,1.031939770236,0.33,0.178,2.87468293948349e-113,"1","B230216N24Rik"
1.81867158790697e-114,1.03888219851865,0.332,0.182,7.38635278712538e-110,"1","As3mt"
6.04447286114318e-114,1.17148730215848,0.459,0.3,2.45490220782469e-109,"1","Rprm"
1.98065442932031e-113,0.802606215145609,0.278,0.138,8.04422989924152e-109,"1","Fam183b"
1.85519390996337e-111,1.01820372499225,0.392,0.244,7.53468454592524e-107,"1","Atp5g2"
7.0658006182531e-111,0.89795235578083,0.573,0.409,2.86970426309731e-106,"1","Cited2"
1.06512964779068e-109,1.10356314598803,0.268,0.135,4.32591755153705e-105,"1","Gck"
4.29454584129562e-104,0.706342224339386,0.411,0.242,1.7441868479838e-99,"1","Nrsn2"
1.63907524715341e-103,1.10940545546935,0.26,0.134,6.65694020878885e-99,"1","Gm8797"
6.48763696316928e-101,0.802018292711397,0.504,0.328,2.63488887622157e-96,"1","Unc5c"
8.82833318186531e-100,0.621653497455825,0.575,0.409,3.58553923848278e-95,"1","Sinhcaf"
4.84707452885775e-95,0.629093272067565,0.71,0.625,1.96859084915029e-90,"1","Sec61g"
1.65153370345531e-94,0.654032628040075,0.577,0.417,6.70753898321341e-90,"1","Pdlim7"
2.18757298281056e-94,0.928701832742527,0.371,0.226,8.88460891238683e-90,"1","Gm13889"
5.56068655910512e-93,0.698792264960415,0.433,0.275,2.25841723911495e-88,"1","4930578M01Rik"
7.35094103532873e-93,0.823352184791911,0.379,0.233,2.98551119208841e-88,"1","Efnb1"
2.5532861829976e-92,0.986660648017459,0.27,0.146,1.03699165036265e-87,"1","Rbm4"
2.27797280700646e-89,1.15051257829146,0.42,0.288,9.25175875837606e-85,"1","Rps6ka5"
7.86095573374256e-89,0.799652950909912,0.315,0.178,3.1926485617022e-84,"1","Gm28905"
2.02436500654104e-87,0.89366491949409,0.376,0.24,8.22175603756577e-83,"1","Ammecr1"
3.77342965741076e-87,0.70234407743603,0.543,0.401,1.53254072106081e-82,"1","Apex2"
4.75221972964394e-85,0.67995630189912,0.592,0.444,1.93006652099759e-80,"1","Olfm2"
8.99375150678239e-83,0.661450382270077,0.369,0.224,3.6527222369646e-78,"1","C130073E24Rik"
1.86078313736018e-81,1.05114939578233,0.257,0.144,7.55738463407465e-77,"1","Rmi1"
2.61715591923023e-80,0.827656369036915,0.345,0.214,1.06293170503616e-75,"1","Nat14"
7.09199324502894e-80,0.934035878445871,0.275,0.158,2.88034213653605e-75,"1","Tomm6"
8.05218044995203e-79,0.692001927780253,0.48,0.333,3.27031256794352e-74,"1","Ncald"
7.47055458843132e-77,0.897211138399524,0.334,0.207,3.03409104054549e-72,"1","Hs6st2"
1.75113495072637e-76,0.877924216194713,0.304,0.182,7.11205948888007e-72,"1","Nptxr"
2.14582631904373e-76,0.738715894169611,0.427,0.296,8.71505901216422e-72,"1","Dpm1"
4.75123851513544e-76,0.849841255254074,0.519,0.399,1.92966801053711e-71,"1","Sh3kbp1"
4.51397349931328e-75,0.740688795267795,0.417,0.283,1.83330519701109e-70,"1","Plekhm3"
5.39885574437464e-75,0.683361427005449,0.461,0.326,2.19269127202032e-70,"1","Dynlt1a"
4.19291418158584e-74,0.798455263075128,0.386,0.264,1.70291016570927e-69,"1","Atp5o"
1.10842965597097e-70,0.635766545358967,0.45,0.313,4.5017762047605e-66,"1","Fam214a"
3.71250050224357e-70,0.838651029495411,0.286,0.17,1.5077949539812e-65,"1","Rtl5"
3.22545576486021e-69,0.6226642542584,0.495,0.366,1.30998660434032e-64,"1","Dlg4"
4.73511610135772e-69,0.642289183715132,0.513,0.384,1.92312005340543e-64,"1","Usp11"
6.72463464498945e-69,0.829564845670498,0.289,0.174,2.73114311471602e-64,"1","Dyrk3"
1.17122573387865e-67,0.729830220584394,0.446,0.316,4.75681619557474e-63,"1","Amph"
5.91616564988226e-66,0.736480394395046,0.31,0.192,2.40279151704318e-61,"1","Prtn3"
8.54340915423305e-66,0.80731114535321,0.371,0.25,3.46982019390021e-61,"1","Plxdc2"
6.92529730554262e-65,0.611863288947514,0.429,0.296,2.81264024767308e-60,"1","Fhit"
3.41854509425059e-64,0.914491810910444,0.413,0.287,1.38840790457893e-59,"1","Galnt13"
1.34814948256868e-62,0.631466156557164,0.379,0.254,5.47537430850443e-58,"1","2900060N12Rik"
7.33339395497388e-62,0.604419831037316,0.413,0.284,2.97838462087309e-57,"1","Vat1l"
4.0375644746505e-61,0.606126778383658,0.399,0.274,1.63981643573455e-56,"1","Esco1"
2.74767899230424e-60,0.647581584754428,0.295,0.183,1.11594234593445e-55,"1","Gm10421"
3.96808646628531e-60,0.678800323463346,0.334,0.219,1.61159863741712e-55,"1","Fam131a"
4.32676433470049e-60,0.684190580995244,0.363,0.243,1.75727206689526e-55,"1","Ucp2"
1.68325912004435e-59,0.613756026175383,0.518,0.396,6.83638859014814e-55,"1","Pgap1"
1.55113977910495e-58,0.804115367060667,0.32,0.208,6.29979909885685e-54,"1","Pdzrn4"
1.9324349881985e-58,0.686179147988094,0.382,0.267,7.8483914610694e-54,"1","Pik3r3"
2.8942126271459e-56,0.649697858249718,0.265,0.161,1.17545551638904e-51,"1","Nell1"
